"","PARKNAME","area_sqkm"
"1","Dry Tortugas",322.682120435547
"2","Bryce Canyon",232.305570953125
"3","Yellowstone",17557.0915847148
"4","Sequoia",2553.24494170703
"5","Mammoth Cave",330.3118275625
"6","Great Basin",515.901035851562
"7","Canyonlands",2196.49065730859
"8","Biscayne",867.063857466797
"9","Guadalupe Mountains",491.447398105469
"10","Gateway Arch",1.290994125
"11","Kings Canyon",2909.30571812891
"12","Capitol Reef",1605.7183614375
"13","Pinnacles",167.545646371094
"14","Lassen Volcanic",753.097653496094
"15","Mount Rainier",2045.64124247656
"16","Yosemite",4849.24525919141
"17","Wind Cave",261.727427324219
"18","North Cascades",4656.12460739844
"19","Voyageurs",1884.04570817969
"20","Congaree",155.132048375
"21","Carlsbad Caverns",264.914338054688
"22","Zion",952.718698261719
"23","Theodore Roosevelt",616.847538578125
"24","Crater Lake",1379.22400245312
"25","Glacier",9351.57134670313
"26","Grand Teton",2410.49667867578
"27","Great Sand Dunes",698.046849527344
"28","Black Canyon of the Gunnison",207.09430771875
"29","Big Bend",4329.89375713672
"30","Arches",509.081047074219
"31","Grand Canyon",7487.84740910156
"32","Cuyahoga Valley",234.527745511719
"33","Joshua Tree",4698.08288284375
"34","Everglades",7625.86302056445
"35","Badlands",1879.08061194531
"36","Petrified Forest",1347.31317359766
"37","Olympic",8203.59077222656
"38","Redwood",1011.69912228125
"39","Shenandoah",1309.30093297266
"40","Acadia",274.779310164063
"41","Great Smoky Mountains",3178.10333740625
"42","Isle Royale",4985.80219914453
"43","White Sands",850.977997644531
"44","Death Valley",21544.2349897422
"45","Indiana Dunes",115.487726410156
"46","Hot Springs",32.6127742773438
"47","Channel Islands",1449.81225644531
"48","Mesa Verde",343.422764195312
"49","Rocky Mountain",1863.01915483984
"50","Saguaro",530.58594371875
