"","UNIT_NAME","UNIT_TYPE","PARKNAME","pPolyID","placekey","safegraph_place_id","parent_placekey","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude"
"1","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-fk7-yn5","sg:a99536183cc34cf4be791e50572bebe1","","","Barnes Children Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.718253,-83.35932
"2","Lassen Volcanic National Park","National Park","Lassen Volcanic",13,"zzy-223@5v5-bgc-nnq","sg:a8448c3e9a394791872d46f409d336ae","","","Helen Lake","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,40.49457,-121.423619
"3","Grand Teton National Park","National Park","Grand Teton",25,"222-222@5qp-xhx-q4v","sg:0111d102da294f538aa30cbb68eab2b8","","","National Park Float Trips","","","Individual and Family Services","Services for the Elderly and Persons with Disabilities",624120,43.764437,-110.567832
"4","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-r94-tn5","sg:82c9acd171fb48a3a34bdc0331c0172b","","","Tunnel View","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.71492,-119.676303
"5","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"222-222@8g9-g3n-jy9","sg:b15b21208b764f93933d9cc465d147e8","","","Smokemont Riding Stables","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,35.551089,-83.308443
"6","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzz-222@63v-c84-6hq","sg:4f288b8dbbfb41ad90c07ddaaf2501a2","","","Hampton Hills Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.169409,-81.550259
"7","Grand Canyon National Park","National Park","Grand Canyon",30,"224-222@5yz-ftg-wkz","sg:a2a1c1064cef45ce9c118fd856342715","","","Grand Canyon School","","","Child Day Care Services","Child Day Care Services",624410,36.052704,-112.137275
"8","Joshua Tree National Park","National Park","Joshua Tree",32,"zzy-222@5z5-9q2-st9","sg:b79c06f283684538afa2e3f3c2fe6b9d","","","Jumbo Rocks Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,33.991688,-116.06282
"9","Olympic National Park","National Park","Olympic",36,"zzy-223@5ww-x8c-mx5","sg:e65443938e4b4d85b68de23e49c835a0","zzz-223@5ww-x8c-mx5","sg:601ed056329d4c6795b831704dc4db20","First Beach at La Push Forks WA","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,47.87772,-124.586759
"10","Sequoia National Park","National Park","Sequoia",3,"zzy-222@5z7-k27-5xq","sg:0fef80b491ee4b7bbb54b679d049a90d","","","General Sherman Tree","","","General Merchandise Stores, including Warehouse Clubs and Supercenters","All Other General Merchandise Stores",452319,36.581688,-118.751438
"11","Death Valley National Park","National Park","Death Valley",43,"222-223@5yv-4yk-jgk","sg:bb3e4130daba4255b49ee01d135d80b2","zzy-222@5yv-4yk-jgk","sg:67d355ccc65348848d564a39a57d9051","Furnace Creek Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,36.460075,-116.865904
"12","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjw-t9z","sg:4d27b20244a740d790d7180aac35216f","","","Curry Village Ice Rink","","","Other Amusement and Recreation Industries","Fitness and Recreational Sports Centers",713940,37.738732,-119.573707
"13","Olympic National Park","National Park","Olympic",36,"zzy-222@5ww-vmr-dqf","sg:67604b678f5141f6a2ace0cce1e8d11e","","","Fairholme Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,48.070069,-123.918851
"14","Crater Lake National Park","National Park","Crater Lake",23,"zzy-222@5v9-6cm-3h5","sg:a1930a93691c4fe0ad54b9ae2c4631e5","","","Crater Lake Gas","","","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,42.867434,-122.1669
"15","Everglades National Park","National Park","Everglades",33,"zzy-222@8fw-6w2-7bk","sg:c5880dd74f1c4944950fa9e7c0d71f8c","","","Coopertown Restaurant","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,25.760744,-80.561256
"16","Grand Teton National Park","National Park","Grand Teton",25,"zzy-227@5qp-xs7-f9f","sg:cde7061651ce4e5e8a432dc18cde53c1","","","Moosely Seconds Mountaineering","","","Sporting Goods, Hobby, and Musical Instrument Stores","Sporting Goods Stores",451110,43.656439,-110.710713
"17","Grand Canyon National Park","National Park","Grand Canyon",30,"zzw-222@5yz-fth-68v","sg:7e387db0e5344c19a13d1b657bd82176","zzy-224@5yz-fth-68v","sg:d4a12d082c6e4e3697603cf5d2e64281","Grand Canyon National Park Airport","","","Individual and Family Services","Services for the Elderly and Persons with Disabilities",624120,36.054874,-112.122294
"18","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-cr3-v4v","sg:a970ea4a6177441a9107672d288afae5","","","Ana's American Ballroom Centre","","","Other Amusement and Recreation Industries","Fitness and Recreational Sports Centers",713940,41.348374,-81.60223
"19","Badlands National Park","National Park","Badlands",34,"zzy-222@5p2-snt-kj9","sg:c3838a8e3c664abaa07b1c717cff248f","zzy-223@5p2-snt-kj9","sg:560340291f754b74bb31355bf0f5f5ed","Cedar Pass Lodge Cafe","","","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars",722515,43.74787,-101.945185
"20","Joshua Tree National Park","National Park","Joshua Tree",32,"zzy-222@5z5-8yk-qfz","sg:82e3dd327bd440358ac2783e471ffc0b","","","Quail Springs","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,34.080896,-116.2448
"21","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-224@8g9-mxh-nbk","sg:dc9a11540c874d5c98e9fff46686cecf","","","Browns Hill Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.58646,-83.838575
"22","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-223@63v-c7p-b8v","sg:8feac9b2dd9841a09696c81238d261e3","222-222@63v-c7p-b8v","sg:d8f2ace5b19e4343985e4a096a8524f5","Junior Ranger Summer Camp","","","Lessors of Real Estate","Lessors of Miniwarehouses and Self-Storage Units",531130,41.215107,-81.578847
"23","Acadia National Park","National Park","Acadia",39,"zzy-222@64w-2vn-rff","sg:6876611b02bf4aac87aeed32407931a9","","","Lake Wood Pond","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.40832,-68.268626
"24","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wg-hqb-fxq","sg:f764673699c9427fb97427c840c8a00b","","","Norris Geyser Basin","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.415767,-110.57336
"25","Death Valley National Park","National Park","Death Valley",43,"zzw-222@5yv-2z4-hyv","sg:35722e25557e4599b42fffda416b22d3","","","Panamint Springs","","","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,36.339563,-117.468594
"26","Petrified Forest National Park","National Park","Petrified Forest",35,"zzy-222@8tg-47v-j7q","sg:95db6ce4f4be350c934a00da0dd2dc3f","","","Painted Desert Gas","","","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,35.065907,-109.781641
"27","Death Valley National Park","National Park","Death Valley",43,"zzy-222@5yt-tq6-4vz","sg:bd6855152cfd40308853a992f2c0a385","","","Ashford Mills Ruins","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,35.922664,-116.682592
"28","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-r6r-kxq","sg:615a44dfa2584c7d811a230a15b08f35","zzw-222@5z7-r6t-435","sg:46889f52ddec4bcaa94368692656c6e7","Polly Dome Lakes","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.641566,-119.626723
"29","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-223@5yz-fth-8jv","sg:f90f8168f6e8437f88e0786f0d7dc434","","","Canyon Village Deli","","","Grocery Stores","Convenience Stores",445120,36.053396,-112.121154
"30","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-my9-g8v","sg:1a3ac3d933f340008fdd8ff817d89481","","","Lawson Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.589315,-83.818569
"31","Crater Lake National Park","National Park","Crater Lake",23,"zzy-222@5v9-6bb-wkz","sg:3c6677e3905848e697441ed7715f5d69","","","Mazama Village Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,42.975765,-122.142243
"32","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-f9f-vcq","sg:9ee6f418adef4e31bb5067cd418d225b","","","Ogle Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.712846,-83.443715
"33","Acadia National Park","National Park","Acadia",39,"zzy-222@64w-2st-mp9","sg:08aa0613ea4c437483585604280da765","","","Kenison Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,44.34864,-68.375104
"34","Everglades National Park","National Park","Everglades",33,"zzy-222@8fw-6xp-gc5","sg:12aaf44341a94b9c9cc3aeea1a6320ef","","","Gator Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,25.76064,-80.581096
"35","Yellowstone National Park","National Park","Yellowstone",2,"zzy-224@5wg-k4r-yn5","sg:626615e0743f4da3875baa29da1f5383","","","Old Faithful Inn Gift Shop","","","Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220,44.555049,-110.395743
"36","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzz-222@63v-c7y-3kf","sg:6892db88890c4201b1b68af51dae52a6","","","ONeil Woods Metro Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.168268,-81.59134
"37","Glacier National Park","National Park","Glacier",24,"zzy-222@3wy-t6w-435","sg:fed8c2e04a0f4934b7dd862e9d3649f6","","","Glacier Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,48.797093,-113.673016
"38","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rtb-s89","sg:2fd606a376a24c169cd1a806cbf9b6d8","","","Tiltill Valley","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.536868,-119.656287
"39","Yellowstone National Park","National Park","Yellowstone",2,"zzy-22b@5wg-k4r-yn5","sg:3b6e58295c1b4338a541efdbc21e532b","","","Grant Village Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,44.55503,-110.395735
"40","Mammoth Cave National Park","National Park","Mammoth Cave",4,"zzy-222@5py-2sc-t35","sg:9dffd1c3d96b4f849f4113e37b3127d1","","","Sand Spring Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,37.232034,-86.155623
"41","Grand Teton National Park","National Park","Grand Teton",25,"zzy-222@5qp-y26-2ff","sg:25ebbb40ea3b44a0a0a01a657d4c8bba","","","Phillips 66","SG_BRAND_73ec7f2366612562515e7201b08b9d0b","Phillips 66","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,43.878827,-110.573491
"42","Badlands National Park","National Park","Badlands",34,"zzy-222@5p4-7yj-gp9","sg:0a3e7383c5784a2ebc0398de7a3b8d42","","","Sage Creek Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,43.89491,-102.413475
"43","Olympic National Park","National Park","Olympic",36,"zzy-222@5ww-wff-bhq","sg:e561da29b6c742f4b02d9a7266083ed5","","","Tree Of Life","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,47.613827,-124.37701
"44","Grand Canyon National Park","National Park","Grand Canyon",30,"zzw-222@5yz-fth-8gk","sg:3583f7dab9664dc09ab4b9590380d660","","","Shrine Of The Ages","","","Religious Organizations","Religious Organizations",813110,36.054258,-112.123651
