Geo_FIPS,population
10010201001,730
10010201002,1263
10010202001,835
10010202002,1124
10010203001,2774
10010203002,733
10010204001,761
10010204002,1756
10010204003,866
10010204004,495
10010205001,1972
10010205002,6015
10010205003,2609
10010206001,2550
10010206002,1118
10010207001,2088
10010207002,1498
10010208011,860
10010208012,2336
10010208021,3158
10010208022,3804
10010208023,1581
10010208024,2599
10010209001,1296
10010209002,1093
10010209003,1583
10010209004,2171
10010210001,596
10010210002,1931
10010211001,1792
10010211002,569
10010211003,824
10030101001,299
10030101002,1839
10030101003,1295
10030102001,1476
10030102002,1682
10030103001,2988
10030103002,3160
10030103003,2136
10030104001,1331
10030104002,985
10030104003,2865
10030105001,1625
10030105002,1208
10030105003,1536
10030105004,1094
10030106001,1757
10030106002,724
10030106003,1249
10030107011,4586
10030107012,2223
10030107013,1104
10030107014,843
10030107031,10767
10030107032,9195
10030107041,2046
10030107042,4410
10030107051,5274
10030107052,2132
10030107053,1938
10030108001,1524
10030108002,2499
10030108003,2833
10030109031,1284
10030109032,2951
10030109033,2000
10030109041,2388
10030109042,1800
10030109043,2417
10030109051,3259
10030109052,3310
10030109053,1747
10030109061,2407
10030109062,1743
10030109063,1038
10030110001,1914
10030110002,2730
10030111011,4254
10030111012,2712
10030111013,4836
10030111021,2394
10030111022,2509
10030112011,3387
10030112012,1704
10030112021,2382
10030112022,907
10030112023,1829
10030112024,879
10030113001,1009
10030113002,1693
10030113003,1149
10030113004,1418
10030114011,3158
10030114012,1242
10030114013,1823
10030114014,3827
10030114015,1707
10030114031,3775
10030114032,3405
10030114033,3989
10030114051,2737
10030114052,1887
10030114061,824
10030114062,394
10030114063,1922
10030114071,1623
10030114072,1080
10030114073,2302
10030114081,558
10030115011,3746
10030115012,1074
10030115013,2111
10030115021,5922
10030115022,1507
10030115023,3149
10030115024,2379
10030116011,1431
10030116012,2342
10030116013,869
10030116014,1231
10030116021,1730
10030116022,1499
10030116023,866
10030116024,2048
10039900000,0
10059501001,158
10059501002,1281
10059501003,1652
10059502001,984
10059502002,2039
10059502003,926
10059503001,626
10059503002,972
10059504001,799
10059504002,1988
10059504003,1030
10059505001,837
10059505002,947
10059505003,1501
10059506001,713
10059506002,1247
10059507001,640
10059507002,881
10059508001,912
10059508002,1347
10059509001,1031
